date,member,match,rule,1st_name,1st_score,2nd_name,2nd_score,3rd_name,3rd_score,4th_name,4th_score
2025/12/14,Yar,5,"10,30,5",Hamada,60,Kane,10,Yazima,-22,Furuhata,-48
2025/12/14,Yar,6,"10,30,5",Furuhata,64,Miura,7,Hamada,-15,Kane,-56
2025/12/14,Yar,7,"10,30,5",Yazima,78,Hamada,2,Miura,-23,Kane,-57
2025/12/14,Yar,8,"10,30,5",Hamada,92,Kane,19,Miura,-38,Yazima,-73
2026/1/11,Yar,1,"10,30,5",Hamada,94,Miura,4,Furuhata,-25,Yazima,-73
2026/1/11,Yar,2,"10,30,5",Furuhata,72,Miura,16,Yazima,-32,Kasai,-56
2026/1/11,Yar,3,"10,30,5",Hamada,63,Furuhata,9,Kasai,-13,Miura,-59
2026/1/11,Yar,4,"10,30,5",Kasai,66,Yazima,5,Hamada,-18,Suzuki,-53
2026/1/11,Yar,5,"10,30,5",Hamada,57,Furuhata,11,Miura,-17,Yazima,-51
2026/1/11,Yar,6,"10,30,5",Hamada,52,Yazima,10,Kasai,-11,Suzuki,-51
2026/1/11,Yar,7,"10,30,5",Suzuki,100,Miura,-2,Furuhata,-30,Kasai,-68
2026/1/17,Com_y,1,"5,10,10",Kozu,67,Hamada,4,Takahashi,-25,Shioya,-46
2026/1/17,Com_y,2,"5,10,10",Takahashi,44,Kozu,2,Shioya,-18,Hamada,-28
2026/1/17,Com_y,3,"5,10,10",Hamada,40,Kozu,-3,Shioya,-16,Takahashi,-21
2026/1/17,Com_y,4,"5,10,10",Hamada,35,Takahashi,5,Shioya,-10,Kozu,-30
2026/1/17,Com_y,5,"5,10,10",Hamada,53,Shioya,2,Takahashi,-13,Kozu,-42
2026/1/17,Com_y,6,"5,10,10",Hamada,42,Kozu,8,Shioya,-11,Takahashi,-39
2026/2/1,Yar,1,"10,30,5",Furuhata,53,Hamada,6,Kasai,-19,Yazima,-40
2026/2/1,Yar,2,"10,30,5",Suzuki,81,Miura,19,Yazima,-20,Kasai,-80
2026/2/1,Yar,3,"10,30,5",Suzuki,58,Miura,7,Hamada,-18,Furuhata,-47
2026/2/1,Yar,4,"10,30,5",Miura,58,Hamada,9,Kasai,-18,Furuhata,-49
2026/2/1,Yar,5,"10,30,5",Yazima,62,Kasai,2,Suzuki,-21,Furuhata,-43
2026/2/1,Yar,6,"10,30,5",Suzuki,70,Yazima,1,Hamada,-20,Miura,-51
2026/2/1,Yar,7,"10,30,5",Yazima,83,Hamada,11,Kasai,-36,Miura,-58
2026/2/1,Yar,8,"10,30,5",Kasai,62,Yazima,12,Miura,-23,Suzuki,-51
